"ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP"
4538,POST,BEGIN,1511116432106223537
4538,POST,END,1511116432139265445
4539,POST,BEGIN,1511116432895188063
4539,POST,END,1511116432918636189
4540,POST,BEGIN,1511116433674624311
4540,POST,END,1511116433715067765
4541,POST,BEGIN,1511116434469977131
4541,POST,END,1511116434491618632
4542,POST,BEGIN,1511116435246078310
4542,POST,END,1511116435263762197
4543,POST,BEGIN,1511116436017632194
4543,POST,END,1511116436034761546
4544,POST,BEGIN,1511116436789746781
4544,POST,END,1511116436813531487
4545,POST,BEGIN,1511116437570082977
4545,POST,END,1511116437600483475
4546,POST,BEGIN,1511116438355059530
4546,POST,END,1511116438388611249
4547,POST,BEGIN,1511116439142851299
4547,POST,END,1511116439159507338
4548,POST,BEGIN,1511116439912781132
4548,POST,END,1511116439927523653
4549,POST,BEGIN,1511116440681442117
4549,POST,END,1511116440699594948
4550,POST,BEGIN,1511116441457097980
4550,POST,END,1511116441488120276
4551,POST,BEGIN,1511116442242490841
4551,POST,END,1511116442260404460
4552,POST,BEGIN,1511116443014335463
4552,POST,END,1511116443030094846
4553,POST,BEGIN,1511116443784516358
4553,POST,END,1511116443799835043
4554,POST,BEGIN,1511116444556591846
4554,POST,END,1511116444581884394
4555,POST,BEGIN,1511116445339365196
4555,POST,END,1511116445371630980
4556,POST,BEGIN,1511116446127473297
4556,POST,END,1511116446148624120
4557,POST,BEGIN,1511116446902635335
4557,POST,END,1511116446918645135
4558,POST,BEGIN,1511116447672510979
4558,POST,END,1511116447689975376
4559,POST,BEGIN,1511116448445883823
4559,POST,END,1511116448472300008
4560,POST,BEGIN,1511116449226265223
4560,POST,END,1511116449249790232
4561,POST,BEGIN,1511116450007030678
4561,POST,END,1511116450047761508
4562,POST,BEGIN,1511116450802757878
4562,POST,END,1511116450820347381
4563,POST,BEGIN,1511116451577566207
4563,POST,END,1511116451608935437
4564,POST,BEGIN,1511116452365704428
4564,POST,END,1511116452394104527
4565,POST,BEGIN,1511116453149560824
4565,POST,END,1511116453167438419
4566,POST,BEGIN,1511116453923314852
4566,POST,END,1511116453945125736
4567,POST,BEGIN,1511116454698903359
4567,POST,END,1511116454723331274
4568,POST,BEGIN,1511116455477291658
4568,POST,END,1511116455493606591
4569,POST,BEGIN,1511116456247417276
4569,POST,END,1511116456263384048
4570,POST,BEGIN,1511116457018159733
4570,POST,END,1511116457033471448
4571,POST,BEGIN,1511116457787839761
4571,POST,END,1511116457820823717
4572,POST,BEGIN,1511116458579381473
4572,POST,END,1511116458606628383
4573,POST,BEGIN,1511116459362549994
4573,POST,END,1511116459381467298
4574,POST,BEGIN,1511116460138373334
4574,POST,END,1511116460161044192
4575,POST,BEGIN,1511116460916359537
4575,POST,END,1511116460933124147
4576,POST,BEGIN,1511116461690039276
4576,POST,END,1511116461717288843
4577,POST,BEGIN,1511116462471686807
4577,POST,END,1511116462486393120
4578,POST,BEGIN,1511116463243197977
4578,POST,END,1511116463271725558
4579,POST,BEGIN,1511116464025590029
4579,POST,END,1511116464040704760
4580,POST,BEGIN,1511116464795374625
4580,POST,END,1511116464810762046
4581,POST,BEGIN,1511116465566080045
4581,POST,END,1511116465587514821
4582,POST,BEGIN,1511116466343694259
4582,POST,END,1511116466366572868
4583,POST,BEGIN,1511116467123523732
4583,POST,END,1511116467152510951
4584,POST,BEGIN,1511116467909133346
4584,POST,END,1511116467934096081
4585,POST,BEGIN,1511116468690770723
4585,POST,END,1511116468711021372
4586,POST,BEGIN,1511116469467797347
4586,POST,END,1511116469501256497
4587,POST,BEGIN,1511116470257565303
4587,POST,END,1511116470275970407
4588,POST,BEGIN,1511116471029943956
4588,POST,END,1511116471044257072
4589,POST,BEGIN,1511116471801667320
4589,POST,END,1511116471830440161
4590,POST,BEGIN,1511116472584563549
4590,POST,END,1511116472599457533
4591,POST,BEGIN,1511116473352642621
4591,POST,END,1511116473367887300
4592,POST,BEGIN,1511116474122970064
4592,POST,END,1511116474138606524
4593,POST,BEGIN,1511116474893021417
4593,POST,END,1511116474909919952
4594,POST,BEGIN,1511116475663561899
4594,POST,END,1511116475679717625
4595,POST,BEGIN,1511116476433362099
4595,POST,END,1511116476449913425
4596,POST,BEGIN,1511116477206868814
4596,POST,END,1511116477238470803
4597,POST,BEGIN,1511116477993761323
4597,POST,END,1511116478013978387
4598,POST,BEGIN,1511116478768516938
4598,POST,END,1511116478786359486
4599,POST,BEGIN,1511116479542681686
4599,POST,END,1511116479569273730
4600,POST,BEGIN,1511116480324003265
4600,POST,END,1511116480346366662
4601,POST,BEGIN,1511116481100653440
4601,POST,END,1511116481115511569
4602,POST,BEGIN,1511116481870434430
4602,POST,END,1511116481889471175
4603,POST,BEGIN,1511116482645877681
4603,POST,END,1511116482671584661
4604,POST,BEGIN,1511116483425783073
4604,POST,END,1511116483441498207
4605,POST,BEGIN,1511116484195129623
4605,POST,END,1511116484211009119
4606,POST,BEGIN,1511116484967531966
4606,POST,END,1511116484998526459
4607,POST,BEGIN,1511116485755022961
4607,POST,END,1511116485775470229
4608,POST,BEGIN,1511116486532498408
4608,POST,END,1511116486562036490
4609,POST,BEGIN,1511116487318584322
4609,POST,END,1511116487337330246
4610,POST,BEGIN,1511116488090756277
4610,POST,END,1511116488107069666
4611,POST,BEGIN,1511116488861195369
4611,POST,END,1511116488878785344
4612,POST,BEGIN,1511116489633987427
4612,POST,END,1511116489650935656
4613,POST,BEGIN,1511116490405166194
4613,POST,END,1511116490423806000
4614,POST,BEGIN,1511116491177345242
4614,POST,END,1511116491193151371
4615,POST,BEGIN,1511116491947588227
4615,POST,END,1511116491963610401
4616,POST,BEGIN,1511116492717081507
4616,POST,END,1511116492732793047
4617,POST,BEGIN,1511116493485835856
4617,POST,END,1511116493502862618
4618,POST,BEGIN,1511116494256242111
4618,POST,END,1511116494270852733
4619,POST,BEGIN,1511116495024398199
4619,POST,END,1511116495040359686
4620,POST,BEGIN,1511116495794521086
4620,POST,END,1511116495810301152
4621,POST,BEGIN,1511116496564342874
4621,POST,END,1511116496579731925
4622,POST,BEGIN,1511116497333790357
4622,POST,END,1511116497349141730
4623,POST,BEGIN,1511116498102423742
4623,POST,END,1511116498119340594
4624,POST,BEGIN,1511116498873024065
4624,POST,END,1511116498888808873
4625,POST,BEGIN,1511116499642361440
4625,POST,END,1511116499662504035
4626,POST,BEGIN,1511116500416239743
4626,POST,END,1511116500432766236
4627,POST,BEGIN,1511116501186517255
4627,POST,END,1511116501203598317
4628,POST,BEGIN,1511116501957059635
4628,POST,END,1511116501972301537
4629,POST,BEGIN,1511116502728752422
4629,POST,END,1511116502749654024
4630,POST,BEGIN,1511116503505792737
4630,POST,END,1511116503530254736
4631,POST,BEGIN,1511116504286023617
4631,POST,END,1511116504320089548
4632,POST,BEGIN,1511116505079484395
4632,POST,END,1511116505108401824
4633,POST,BEGIN,1511116505863412641
4633,POST,END,1511116505895034944
4634,POST,BEGIN,1511116506649242024
4634,POST,END,1511116506663866249
4635,POST,BEGIN,1511116507417730698
4635,POST,END,1511116507437326625
4636,POST,BEGIN,1511116508191364719
4636,POST,END,1511116508207218285
4637,POST,BEGIN,1511116508962967846
4637,POST,END,1511116508982165869
4638,POST,BEGIN,1511116509737854948
4638,POST,END,1511116509763705105
4639,POST,BEGIN,1511116510521202226
4639,POST,END,1511116510540584361
4640,POST,BEGIN,1511116511294369351
4640,POST,END,1511116511309057566
4641,POST,BEGIN,1511116512062874795
4641,POST,END,1511116512078943418
4642,POST,BEGIN,1511116512832745968
4642,POST,END,1511116512848853394
4643,POST,BEGIN,1511116513602908080
4643,POST,END,1511116513632809252
4644,POST,BEGIN,1511116514386388651
4644,POST,END,1511116514401731140
4645,POST,BEGIN,1511116515155356589
4645,POST,END,1511116515172076253
4646,POST,BEGIN,1511116515928838590
4646,POST,END,1511116515954375413
4647,POST,BEGIN,1511116516708296813
4647,POST,END,1511116516723984480
4648,POST,BEGIN,1511116517479497095
4648,POST,END,1511116517503394467
4649,POST,BEGIN,1511116518257195814
4649,POST,END,1511116518273702239
4650,POST,BEGIN,1511116519027385031
4650,POST,END,1511116519043253428
4651,POST,BEGIN,1511116519797088499
4651,POST,END,1511116519814592841
4652,POST,BEGIN,1511116520568107200
4652,POST,END,1511116520584499359
4653,POST,BEGIN,1511116521337830117
4653,POST,END,1511116521357323700
4654,POST,BEGIN,1511116522111304628
4654,POST,END,1511116522131755435
4655,POST,BEGIN,1511116522885818854
4655,POST,END,1511116522901661197
4656,POST,BEGIN,1511116523655081595
4656,POST,END,1511116523674291805
4657,POST,BEGIN,1511116524427782285
4657,POST,END,1511116524445533975
4658,POST,BEGIN,1511116525199362497
4658,POST,END,1511116525215378329
4659,POST,BEGIN,1511116525968911798
4659,POST,END,1511116525987870477
4660,POST,BEGIN,1511116526741785173
4660,POST,END,1511116526757657643
4661,POST,BEGIN,1511116527511635461
4661,POST,END,1511116527530241927
4662,POST,BEGIN,1511116528285423957
4662,POST,END,1511116528304899034
4663,POST,BEGIN,1511116529058663939
4663,POST,END,1511116529072943933
4664,POST,BEGIN,1511116529829466855
4664,POST,END,1511116529853906348
4665,POST,BEGIN,1511116530608463326
4665,POST,END,1511116530627593154
4666,POST,BEGIN,1511116531381925042
4666,POST,END,1511116531397154784
4667,POST,BEGIN,1511116532153006236
4667,POST,END,1511116532172062673
4668,POST,BEGIN,1511116532928842391
4668,POST,END,1511116532951460944
4669,POST,BEGIN,1511116533706670068
4669,POST,END,1511116533723601481
4670,POST,BEGIN,1511116534480258117
4670,POST,END,1511116534504147228
4671,POST,BEGIN,1511116535258158702
4671,POST,END,1511116535278006455
4672,POST,BEGIN,1511116536031995686
4672,POST,END,1511116536047088615
4673,POST,BEGIN,1511116536801134560
4673,POST,END,1511116536817284248
4674,POST,BEGIN,1511116537570885623
4674,POST,END,1511116537587154775
4675,POST,BEGIN,1511116538340458848
4675,POST,END,1511116538358189607
4676,POST,BEGIN,1511116539112047666
4676,POST,END,1511116539131226017
4677,POST,BEGIN,1511116539884517188
4677,POST,END,1511116539900988949
4678,POST,BEGIN,1511116540654600499
4678,POST,END,1511116540669887323
4679,POST,BEGIN,1511116541423752427
4679,POST,END,1511116541439509919
4680,POST,BEGIN,1511116542192853220
4680,POST,END,1511116542208461152
4681,POST,BEGIN,1511116542961368304
4681,POST,END,1511116542978051432
4682,POST,BEGIN,1511116543730978912
4682,POST,END,1511116543747014181
4683,POST,BEGIN,1511116544500552589
4683,POST,END,1511116544524311286
4684,POST,BEGIN,1511116545277548811
4684,POST,END,1511116545293939484
4685,POST,BEGIN,1511116546047287589
4685,POST,END,1511116546063095146
4686,POST,BEGIN,1511116546816762342
4686,POST,END,1511116546832466317
4687,POST,BEGIN,1511116547585827775
4687,POST,END,1511116547601011050
4688,POST,BEGIN,1511116548354111501
4688,POST,END,1511116548371776481
4689,POST,BEGIN,1511116549125324422
4689,POST,END,1511116549141379923
4690,POST,BEGIN,1511116549896982111
4690,POST,END,1511116549920726999
4691,POST,BEGIN,1511116550674472688
4691,POST,END,1511116550695702982
4692,POST,BEGIN,1511116551449231749
4692,POST,END,1511116551467743438
4693,POST,BEGIN,1511116552224355753
4693,POST,END,1511116552247507700
4694,POST,BEGIN,1511116553001927786
4694,POST,END,1511116553017349569
4695,POST,BEGIN,1511116553771043417
4695,POST,END,1511116553787065990
4696,POST,BEGIN,1511116554540685933
4696,POST,END,1511116554556678675
4697,POST,BEGIN,1511116555310296047
4697,POST,END,1511116555325293222
4698,POST,BEGIN,1511116556078350051
4698,POST,END,1511116556097574547
4699,POST,BEGIN,1511116556851511430
4699,POST,END,1511116556869155943
4700,POST,BEGIN,1511116557623084324
4700,POST,END,1511116557637753398
4701,POST,BEGIN,1511116558391750041
4701,POST,END,1511116558411366498
4702,POST,BEGIN,1511116559164265054
4702,POST,END,1511116559185236904
4703,POST,BEGIN,1511116559940138995
4703,POST,END,1511116559978030881
4704,POST,BEGIN,1511116560732866115
4704,POST,END,1511116561135229774
4705,POST,BEGIN,1511116561888979467
4705,POST,END,1511116561913376630
4706,POST,BEGIN,1511116562666611185
4706,POST,END,1511116562691468029
4707,POST,BEGIN,1511116563445321272
4707,POST,END,1511116563466349095
4708,POST,BEGIN,1511116564219941025
4708,POST,END,1511116564236235827
4709,POST,BEGIN,1511116564989255536
4709,POST,END,1511116565007445855
4710,POST,BEGIN,1511116565761102698
4710,POST,END,1511116565778084081
4711,POST,BEGIN,1511116566531731605
4711,POST,END,1511116566552059991
4712,POST,BEGIN,1511116567305681585
4712,POST,END,1511116567323873301
4713,POST,BEGIN,1511116568077200633
4713,POST,END,1511116568222332576
4714,POST,BEGIN,1511116568976008111
4714,POST,END,1511116568991182603
4715,POST,BEGIN,1511116569744664607
4715,POST,END,1511116569759839513
4716,POST,BEGIN,1511116570513809098
4716,POST,END,1511116570529942314
4717,POST,BEGIN,1511116571283662908
4717,POST,END,1511116571303629097
4718,POST,BEGIN,1511116572056623489
4718,POST,END,1511116572086150763
4719,POST,BEGIN,1511116572841362234
4719,POST,END,1511116572863420321
4720,POST,BEGIN,1511116573620194511
4720,POST,END,1511116573647692286
4721,POST,BEGIN,1511116574404600789
4721,POST,END,1511116574439848566
4722,POST,BEGIN,1511116575193938814
4722,POST,END,1511116575213144762
4723,POST,BEGIN,1511116575968285942
4723,POST,END,1511116575990838470
4724,POST,BEGIN,1511116576746745085
4724,POST,END,1511116576767896689
4725,POST,BEGIN,1511116577521961829
4725,POST,END,1511116577538342734
4726,POST,BEGIN,1511116578294404322
4726,POST,END,1511116578318275075
4727,POST,BEGIN,1511116579072730306
4727,POST,END,1511116579103701512
4728,POST,BEGIN,1511116579857717034
4728,POST,END,1511116579874369519
4729,POST,BEGIN,1511116580628037063
4729,POST,END,1511116580644855582
4730,POST,BEGIN,1511116581398586677
4730,POST,END,1511116581413309811
4731,POST,BEGIN,1511116582166326848
4731,POST,END,1511116582182005477
4732,POST,BEGIN,1511116582936607544
4732,POST,END,1511116582955106632
4733,POST,BEGIN,1511116583708937963
4733,POST,END,1511116583724411391
4734,POST,BEGIN,1511116584477955909
4734,POST,END,1511116584495857907
4735,POST,BEGIN,1511116585249596589
4735,POST,END,1511116585266234143
4736,POST,BEGIN,1511116586019892628
4736,POST,END,1511116586036773966
4737,POST,BEGIN,1511116586790665441
4737,POST,END,1511116586809802403
4738,POST,BEGIN,1511116587563626179
